feature,importance
num__avg_customer_amount,0.34323362
cat__card_type_credit,0.32419828
num__amount,0.23234534
num__txns_last_1h,0.13702378
cat__email_domain_gmail.com,0.12159764
num__previous_transaction_count,0.10125508
num__txns_last_24h,0.09198775
num__hour_of_day,0.06664184
cat__card_type_debit,0.059064228
cat__email_domain_anonymous.com,0.039193574
num__email_domain_missing,0.03552394
cat__card_network_mastercard,0.026976015
num__amount_ratio,0.021443088
cat__email_domain_att.net,0.015568036
num__amount_deviation,0.01547152
cat__email_domain_aol.com,0.014126221
num__day_of_week,0.01385366
cat__email_domain_sbcglobal.net,0.010634061
cat__email_domain_hotmail.com,0.009698875
cat__email_domain_verizon.net,0.0065945587
cat__email_domain_outlook.com,0.006514985
cat__email_domain_yahoo.com.mx,0.0039905147
cat__email_domain_comcast.net,0.0038970069
cat__email_domain_yahoo.com,0.0037378757
cat__email_domain_mail.com,0.002831519
cat__email_domain_aim.com,0.0023121333
cat__card_network_american express,0.0020989696
cat__email_domain_live.com,0.0010109951
cat__card_network_discover,0.00079638255
cat__email_domain_msn.com,0.00062961184
cat__email_domain_protonmail.com,0.00037099322
cat__email_domain_icloud.com,0.00035266235
cat__email_domain_optonline.net,0.00032632833
cat__email_domain_web.de,0.00030654884
cat__card_network_visa,0.000113176895
cat__email_domain_prodigy.net.mx,4.4057328e-05
cat__email_domain_servicios-ta.com,0.0
cat__email_domain_sc.rr.com,0.0
cat__email_domain_rocketmail.com,0.0
cat__email_domain_suddenlink.net,0.0
cat__email_domain_yahoo.fr,0.0
cat__email_domain_twc.com,0.0
cat__email_domain_windstream.net,0.0
cat__email_domain_yahoo.co.jp,0.0
cat__email_domain_yahoo.co.uk,0.0
cat__email_domain_yahoo.de,0.0
cat__email_domain_yahoo.es,0.0
cat__email_domain_q.com,0.0
cat__email_domain_ymail.com,0.0
cat__card_network_MISSING,0.0
cat__card_type_MISSING,0.0
cat__card_type_charge card,0.0
cat__email_domain_roadrunner.com,0.0
cat__email_domain_mac.com,0.0
cat__email_domain_ptd.net,0.0
cat__email_domain_outlook.es,0.0
num__is_new_customer,0.0
cat__email_domain_MISSING,0.0
cat__email_domain_bellsouth.net,0.0
cat__email_domain_cableone.net,0.0
cat__email_domain_centurylink.net,0.0
cat__email_domain_cfl.rr.com,0.0
cat__email_domain_charter.net,0.0
cat__email_domain_cox.net,0.0
cat__email_domain_earthlink.net,0.0
cat__email_domain_embarqmail.com,0.0
cat__email_domain_frontier.com,0.0
cat__email_domain_frontiernet.net,0.0
cat__email_domain_gmail,0.0
cat__email_domain_gmx.de,0.0
cat__email_domain_hotmail.co.uk,0.0
cat__email_domain_hotmail.de,0.0
cat__email_domain_hotmail.es,0.0
cat__email_domain_hotmail.fr,0.0
cat__email_domain_juno.com,0.0
cat__email_domain_live.com.mx,0.0
cat__email_domain_live.fr,0.0
num__log_amount,0.0
cat__email_domain_me.com,0.0
cat__email_domain_netzero.com,0.0
cat__email_domain_netzero.net,0.0
cat__card_type_debit or credit,0.0
